Account #,Account Source,FBSI Short Name,Custom Short Name,Primary Account Holder,Registration,Security ID,Security Description,Closing Quantity,Recent Quantity,Recent Price,Currency Code,Foreign Recent Price,Currency Code,Recent Market Value,Currency Code,Foreign Recent Market Value,Currency Code,Average Cost,Currency Code,Cost,Currency Code,Foreign Cost,Currency Code,% of Total,Gain/Loss,Currency Code,Foreign Gain/Loss,Currency Code,% Gain/Loss,,Closing Market Value,Currency Code,Foreign Closing Market Value,Currency Code,Account Type,Change since last close ($),Currency Code,Foreign Change since last close ($),Currency Code,Change since last close (%),Foreign Change since last close (%),As of Date & Time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Fidelity Brokerage,Bob,,,Individual (I),FCASH,CASH,"1,438.06","1,438.06",$1.00 ,USD,,,"$1,438.06 ",USD,,,,USD,,USD,,,1.97%,,USD,,,,,"$1,438.06 ",USD,,,Cash,$0.00 ,USD,,,0.00%,,08-Oct-2019 10:49 PM ET
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Fidelity Brokerage,Bob,,,Individual (I),BOND,PIMCO ETF TR ACTIVE BD ETF,33,33,$108.84 ,USD,,,"$3,591.71 ",USD,,,$108.39 ,USD,"$3,577.17 ",USD,,,4.92%,$14.54 ,USD,,,0.40%,,"$3,596.01 ",USD,,,Cash,($4.30),USD,,,-0.11%,,08-Oct-2019 10:49 PM ET
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Fidelity Brokerage,Bob,,,Individual (I),CWB,SPDR SERIES TRUST BLMBRG BRC CNVRT,55,55,$52.10 ,USD,,,"$2,865.74 ",USD,,,$51.73 ,USD,"$2,845.54 ",USD,,,3.93%,$20.20 ,USD,,,0.70%,,"$2,847.90 ",USD,,,Cash,$17.84 ,USD,,,0.62%,,08-Oct-2019 10:49 PM ET
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Fidelity Brokerage,Bob,,,Individual (I),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,"3,631.28","3,631.28",$1.00 ,USD,,,"$3,631.28 ",USD,,,,USD,,USD,,,4.98%,,USD,,,,,"$3,631.28 ",USD,,,Cash,$0.00 ,USD,,,0.00%,,08-Oct-2019 10:49 PM ET
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Fidelity Brokerage,Bob,,,Individual (I),IJJ,ISHARES S&P MIDCAP 400 VALUE ETF,37,37,$153.92 ,USD,,,"$5,695.03 ",USD,,,$150.09 ,USD,"$5,553.52 ",USD,,,7.81%,$141.51 ,USD,,,2.54%,,"$5,651.01 ",USD,,,Cash,$44.02 ,USD,,,0.77%,,08-Oct-2019 10:49 PM ET
